Site Page,File,Title,Year,Medium,Size
sadgirls,girl1.png,Tuesday,2025,Oil on Paper,8 x 10 inches
sadgirls,girl2.png,The Insomniac,2025,Oil on Canvas,8 x 10 inches
sadgirls,girl3.png,Fatal Exception,2025,Oil on Canvas,8 x 10 inches
sadgirls,girl4.png,A Commuteira,2025,Oil on Canvas,8 x 10 inches
sadgirls,girl5.png,Paper Cut,2025,Oil on Canvas,8 x 10 inches
sadgirls,girl9.png,Lover That Never Was,2025,Oil on Paper,8 x 10 inches
sadgirls,girl6.png,Misery Business,2025,Oil on Canvas,8 x 10 inches
sadgirls,girl8.png,Vortex Ring State,2025,Oil on Paper,8 x 10 inches
machines,bbgterminal,The Terminal,2024,Oil on Canvas,36 x 36 inches
machines,tonicoperator,Tonic Operator,2024,Oil on Canvas,36 x 36 inches
machines,commodoretemp,How to Produce Sound Effects,2025,Oil on Canvas,10 x 8 inches